pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Kacerere,,Kanungu,1520.0,90.0,90.0,0.0,,,,,,,,,,12.0,15.0,KAYO-BUJENGWE
Kacerere,,Kanungu,1528.0,97.0,60.0,3.0,33.0,,,,,,,,,70.0,40.0,KAYO-BUJENGWE
Kacerere,,Kanungu,1495.0,34.0,90.0,0.0,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1534.0,60.0,60.0,0.0,,,,,,,,,,,,KAYO-BUJENGWE
Kacerere,,Kanungu,1526.0,54.0,40.0,3.5,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1412.0,65.0,60.0,1.475,35.0,,,,,,,4.0,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1348.0,38.0,180.0,0.475,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1377.0,44.0,90.0,0.475,,,11.0,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1323.0,43.0,30.0,1.975,,,,,42.0,,,,,20.0,,KAYO-BUJENGWE
Kanoni,,Kanungu,1328.0,31.0,60.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1359.0,43.0,30.0,1.975,75.0,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1332.0,58.0,60.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1327.0,73.0,60.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1355.0,28.0,60.0,0.975,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1337.0,44.0,180.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kanoni,,Kanungu,1407.0,37.0,60.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kazahi,,Kanungu,1462.0,67.0,30.0,11.75,,,,,,,,,,,,KAYO-BUJENGWE
Kazahi,,Kanungu,1515.0,31.0,30.0,0.975,,,,,,,,,,144.0,20.0,KAYO-BUJENGWE
Kazahi,,Kanungu,1474.0,46.0,60.0,1.975,65.0,,,,,,,,,30.0,3.0,KAYO-BUJENGWE
Kazahi,,Kanungu,1503.0,45.0,30.0,2.0,,,,,,,,,,20.0,0.0,KAYO-BUJENGWE
Kazahi,,Kanungu,1504.0,43.0,30.0,1.975,,,,,,,,10.0,,10.0,,KAYO-BUJENGWE
Kazahi,,Kanungu,1572.0,30.0,60.0,1.975,,,,,,,,10.0,,10.0,1.0,KAYO-BUJENGWE
Kazahi,,Kanungu,1585.0,79.0,60.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kazahi,,Kanungu,1602.0,54.0,30.0,0.975,,,,,,,,,,,,KAYO-BUJENGWE
Kazahi,,Kanungu,1635.0,24.0,60.0,1.975,,,23.0,,,,,,,40.0,2.0,KAYO-BUJENGWE
Kazahi,,Kanungu,1508.0,60.0,5.0,1.475,,,,,250.0,,,,,336.0,,KAYO-BUJENGWE
Kazahi,,Kanungu,1573.0,46.0,40.0,0.5,37.0,,,,,,,,,,,KAYO-BUJENGWE
Kazahi,,Kanungu,1622.0,66.0,30.0,1.975,,,,,,,,9.0,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1293.0,36.0,20.0,1.5,,,,,90.0,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1429.0,72.0,20.0,1.25,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1408.0,53.0,60.0,0.5,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1370.0,31.0,30.0,0.25,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1328.0,54.0,10.0,1.75,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1298.0,64.0,90.0,0.75,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1324.0,40.0,60.0,0.975,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1361.0,70.0,60.0,2.975,,,,,,,,,,15.0,,KAYO-BUJENGWE
Kishanda,,Kanungu,1390.0,51.0,30.0,4.88,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1408.0,21.0,15.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1296.0,38.0,20.0,1.975,,,,,,,,,,,3.0,KAYO-BUJENGWE
Kishanda,,Kanungu,1238.0,68.0,30.0,2.975,,,,,47.0,,,,,,,KAYO-BUJENGWE
Kishanda,,Kanungu,1369.0,28.0,120.0,1.975,,,,,,,,,,20.0,,KAYO-BUJENGWE
Kishanda,,Kanungu,1553.0,40.0,60.0,1.975,,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1440.0,60.0,60.0,0.9,,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1443.0,42.0,60.0,0.9,30.0,,,,30.0,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1431.0,30.0,30.0,0.15,,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1565.0,38.0,60.0,0.0,,,,,43.0,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1545.0,51.0,60.0,0.9,10.0,,,19.0,10.0,,,,,,0.0,KAYO-BUJENGWE
Kishegyere,,Kanungu,1524.0,45.0,40.0,0.55,,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1444.0,45.0,20.0,2.75,33.0,,,,45.0,55.0,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1451.0,63.0,30.0,2.75,30.0,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1436.0,60.0,10.0,9.5,10.0,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1479.0,31.0,30.0,0.75,,,,,,,,,,,,KAYO-BUJENGWE
Kishegyere,,Kanungu,1561.0,39.0,120.0,2.75,16.0,,,,,,,,,,0.0,KAYO-BUJENGWE
Kishegyere,,Kanungu,1465.0,35.0,60.0,0.5,,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1452.0,71.0,60.0,0.975,46.0,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1433.0,49.0,60.0,0.975,95.0,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1306.0,50.0,60.0,1.975,110.0,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1357.0,47.0,1.0,9.975,100.0,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1357.0,68.0,30.0,2.975,95.0,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1383.0,55.0,60.0,1.975,95.0,,,,,,,,,10.0,5.0,KAYO-BUJENGWE
Mayanja,,Kanungu,1428.0,55.0,20.0,0.25,,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1429.0,24.0,30.0,0.25,,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1454.0,60.0,120.0,1.25,150.0,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1427.0,49.0,20.0,0.5,,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1391.0,30.0,20.0,0.75,,,,,,,,,,,,KAYO-BUJENGWE
Mayanja,,Kanungu,1359.0,46.0,30.0,1.5,,,,,,,,,,,,KAYO-BUJENGWE
Mushorero,,Kanungu,1647.0,33.0,50.0,0.975,,,,,,,,,,50.0,50.0,KAYO-BUJENGWE
Mushorero,,Kanungu,1547.0,32.0,20.0,0.975,,,,,,,,,,,,KAYO-BUJENGWE
Mushorero,,Kanungu,1731.0,60.0,120.0,2.975,70.0,,,,,,,,,,,KAYO-BUJENGWE
Mushorero,,Kanungu,1710.0,35.0,120.0,0.975,75.0,,,,,,,,,,,KAYO-BUJENGWE
Mushorero,,Kanungu,1746.0,39.0,60.0,0.975,,,,,95.0,,,,,20.0,,KAYO-BUJENGWE
Mushorero,,Kanungu,1716.0,40.0,120.0,0.975,80.0,,,,,,,,,10.0,,KAYO-BUJENGWE
Mushorero,,Kanungu,1639.0,27.0,120.0,1.902,65.0,,,,80.0,,,,,,,KAYO-BUJENGWE
Mushorero,,Kanungu,1575.0,35.0,60.0,1.975,,,11.0,,,,,,,,,KAYO-BUJENGWE
Mushorero,,Kanungu,1584.0,74.0,120.0,1.975,,,,,,,,,,6.0,,KAYO-BUJENGWE
Mushorero,,Kanungu,1613.0,36.0,120.0,0.975,85.0,,,,,,,,,20.0,,KAYO-BUJENGWE
Mushorero,,Kanungu,1654.0,52.0,60.0,1.975,65.0,,,,,,,,,,5.0,KAYO-BUJENGWE
Mushorero,,Kanungu,1662.0,26.0,60.0,0.975,,,,,,,,,,20.0,6.0,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1558.0,25.0,40.0,3.5,,,,,,66.0,,,,,0.0,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1538.0,42.0,30.0,0.25,,,,,,,,,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1550.0,33.0,20.0,0.75,,,,,,,,,,2.0,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1518.0,38.0,30.0,3.75,80.0,,,,,,,,,10.0,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1497.0,62.0,30.0,1.75,,,,,,,,,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1538.0,23.0,20.0,0.25,,,,,110.0,,,,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1554.0,60.0,40.0,4.0,120.0,,,,200.0,,,240.0,,0.0,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1539.0,48.0,40.0,0.38,,15.0,,,170.0,,,,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1542.0,20.0,60.0,0.15,,,4.5,,,,,1.0,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1528.0,70.0,60.0,0.4,28.0,,5.5,,,,,2.0,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1512.0,44.0,60.0,0.03,,,24.0,,,,,18.0,,,,KAYO-BUJENGWE
Nyamishamba,,Kanungu,1492.0,50.0,30.0,0.95,24.0,,,,31.0,,,,,,,KAYO-BUJENGWE
Ahabutaare,,Kanungu,1520.0,24.0,180.0,0.475,,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1506.0,36.0,60.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1442.0,50.0,5.0,1.475,30.0,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1418.0,65.0,2.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1431.0,32.0,2.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1440.0,66.0,10.0,1.975,,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1478.0,48.0,5.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Ahabutaare,,Kanungu,1509.0,28.0,16.0,0.225,109.0,,,,,40.0,,,,3.0,40.0,KIRI-BUSHURA
Ahabutaare,,Kanungu,1482.0,45.0,5.0,0.475,,,,,,,,,,60.0,30.0,KIRI-BUSHURA
Ahabutaare,,Kanungu,0.0,38.0,10.0,1.75,270.0,,17.0,,,,,,,240.0,260.0,KIRI-BUSHURA
Bugandaro,,Kanungu,1448.0,80.0,20.0,1.75,,,,,,,,10.0,,24.0,20.0,KIRI-BUSHURA
Bugandaro,,Kanungu,1446.0,56.0,60.0,0.85,,,,,,,,,,100.0,,KIRI-BUSHURA
Bugandaro,,Kanungu,1421.0,39.0,13.0,0.25,,,,,,,,,,,150.0,KIRI-BUSHURA
Bugandaro,,Kanungu,1437.0,35.0,120.0,0.5,11.0,,,,,,,,,150.0,,KIRI-BUSHURA
Bugandaro,,Kanungu,1458.0,70.0,60.0,6.0,,,,,,,,,,,,KIRI-BUSHURA
Bugandaro,,Kanungu,1457.0,42.0,60.0,0.5,,,,,,,,,,20.0,,KIRI-BUSHURA
Bugandaro,,Kanungu,1455.0,29.0,180.0,0.4,90.0,,,,,,,,,70.0,,KIRI-BUSHURA
Bugandaro,,Kanungu,1471.0,38.0,120.0,0.8,55.0,,,,,,,,,100.0,,KIRI-BUSHURA
Bugandaro,,Kanungu,1445.0,38.0,45.0,0.35,,,,,,,,,,150.0,,KIRI-BUSHURA
Bugandaro,,Kanungu,1447.0,47.0,30.0,1.8,,,,,,,,,,100.0,,KIRI-BUSHURA
Bushura,,Kanungu,1053.0,57.0,10.0,2.0,65.0,,,,,,,,,200.0,300.0,KIRI-BUSHURA
Bushura,,Kanungu,1509.0,64.0,10.0,1.0,,,,,,,,,,,,KIRI-BUSHURA
Bushura,,Kanungu,1505.0,75.0,60.0,1.25,,,,,,,,,,,,KIRI-BUSHURA
Bushura,,Kanungu,1483.0,38.0,60.0,0.0,,,,,,,,,,10.0,,KIRI-BUSHURA
Bushura,,Kanungu,1485.0,52.0,60.0,0.0,,,,,,,,,,10.0,,KIRI-BUSHURA
Bushura,,Kanungu,1320.0,37.0,60.0,1.25,10.0,,,,,,,,,,,KIRI-BUSHURA
Bushura,,Kanungu,1496.0,31.0,60.0,1.5,,,,,123.0,,,,,,,KIRI-BUSHURA
Bushura,,Kanungu,1469.0,47.0,30.0,1.0,,,,,,,,,,,,KIRI-BUSHURA
Bushura,,Kanungu,1460.0,29.0,10.0,1.0,6.0,,,,,,,,,,20.0,KIRI-BUSHURA
Bushura,,Kanungu,1475.0,62.0,30.0,0.25,,,,,,,,,,30.0,,KIRI-BUSHURA
Kajumo,,Kanungu,1726.0,90.0,120.0,0.4,,,,,,,,,,15.0,,KIRI-BUSHURA
Kajumo,,Kanungu,1687.0,32.0,180.0,0.4,11.0,,,,,,,4.0,,30.0,12.0,KIRI-BUSHURA
Kajumo,,Kanungu,1690.0,40.0,150.0,0.65,5.0,,,,,,,2.0,,20.0,18.0,KIRI-BUSHURA
Kajumo,,Kanungu,1693.0,46.0,90.0,1.7,35.0,,,,60.0,,,13.0,,60.0,,KIRI-BUSHURA
Kajumo,,Kanungu,1626.0,55.0,45.0,0.15,,,,,,,,,,70.0,0.0,KIRI-BUSHURA
Kajumo,,Kanungu,1659.0,45.0,300.0,0.4,,,,,,65.0,,,,65.0,,KIRI-BUSHURA
Kajumo,,Kanungu,1693.0,23.0,240.0,0.4,,,,,,,,,,0.0,,KIRI-BUSHURA
Kajumo,,Kanungu,1691.0,32.0,120.0,2.9,,,,,,,,,,40.0,,KIRI-BUSHURA
Kajumo,,Kanungu,0.0,30.0,60.0,0.9,60.0,,,,,,,,,70.0,10.0,KIRI-BUSHURA
Katwa,,Kanungu,1508.0,62.0,2.0,6.5,148.0,,,,,,,6.0,,1000.0,2.0,KIRI-BUSHURA
Katwa,,Kanungu,1512.0,79.0,2.0,1.5,,,,,,,,,,80.0,56.0,KIRI-BUSHURA
Katwa,,Kanungu,1493.0,40.0,30.0,0.7,,,,,,,,,,40.0,20.0,KIRI-BUSHURA
Katwa,,Kanungu,1518.0,70.0,1.0,2.2,,,,,,,,,,180.0,15.0,KIRI-BUSHURA
Katwa,,Kanungu,1459.0,34.0,40.0,0.4875,,,,,,,,,,,,KIRI-BUSHURA
Katwa,,Kanungu,1473.0,30.0,10.0,0.0625,15.0,,,,35.0,,,1.5,,10.0,,KIRI-BUSHURA
Katwa,,Kanungu,1501.0,53.0,40.0,3.8,160.0,,,,,,,8.0,,300.0,,KIRI-BUSHURA
Katwa,,Kanungu,1444.0,30.0,15.0,0.5,40.0,,,,120.0,,,6.0,,40.0,,KIRI-BUSHURA
Kazuru,,Kanungu,1436.0,48.0,20.0,0.4,,,5.5,,,,,5.0,,5.0,,KIRI-BUSHURA
Kazuru,,Kanungu,1435.0,60.0,10.0,1.3,20.0,,1.25,,28.0,,,,,10.0,80.0,KIRI-BUSHURA
Kazuru,,Kanungu,1490.0,58.0,20.0,0.85,48.0,,3.0,43.0,40.0,69.0,,2.0,,100.0,200.0,KIRI-BUSHURA
Kazuru,,Kanungu,1593.0,34.0,20.0,2.8,90.0,,3.0,,120.0,,,5.0,,,20.0,KIRI-BUSHURA
Kazuru,,Kanungu,1474.0,61.0,30.0,0.875,20.0,,,,27.0,,,1.8,,50.0,50.0,KIRI-BUSHURA
Kazuru,,Kanungu,1476.0,66.0,10.0,2.8,57.0,,3.0,,45.0,,,2.5,,50.0,200.0,KIRI-BUSHURA
Kazuru,,Kanungu,1450.0,27.0,60.0,0.0,,,,,,,,,,,,KIRI-BUSHURA
Kazuru,,Kanungu,1460.0,35.0,10.0,0.5,42.0,,,,78.0,,,12.0,,45.0,16.0,KIRI-BUSHURA
Kazuru,,Kanungu,1449.0,57.0,30.0,1.5,88.0,,,50.0,,,,,,40.0,6.0,KIRI-BUSHURA
Kazuru,,Kanungu,1494.0,24.0,20.0,0.8,,,,,,,,,,200.0,,KIRI-BUSHURA
Kazuru,,Kanungu,1477.0,52.0,10.0,2.1,135.0,,,,,,,,,120.0,144.0,KIRI-BUSHURA
Kazuru,,Kanungu,1504.0,39.0,30.0,2.3,73.0,,,,,,,,,15.0,14.0,KIRI-BUSHURA
Kikondeka,,Kanungu,1524.0,70.0,10.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Kikondeka,,Kanungu,1574.0,73.0,25.0,0.975,,,,,,,,,,,0.0,KIRI-BUSHURA
Kikondeka,,Kanungu,1545.0,35.0,30.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Kikondeka,,Kanungu,1625.0,70.0,180.0,1.975,,,,,,,,,,5.0,0.0,KIRI-BUSHURA
Kikondeka,,Kanungu,1628.0,40.0,60.0,0.975,,,,,,,,,,,,KIRI-BUSHURA
Kikondeka,,Kanungu,1674.0,70.0,30.0,1.975,90.0,,,,,,,,,,,KIRI-BUSHURA
Kikondeka,,Kanungu,1551.0,53.0,30.0,0.875,103.0,,,,,,,,,,,KIRI-BUSHURA
Kikondeka,,Kanungu,1602.0,59.0,60.0,3.0,100.0,,,,,,,,,576.0,100.0,KIRI-BUSHURA
Kikondeka,,Kanungu,1527.0,55.0,30.0,0.75,,,,,,,,,,7.0,100.0,KIRI-BUSHURA
Kikondeka,,Kanungu,1554.0,48.0,30.0,0.475,42.0,,11.0,,,,,,,120.0,,KIRI-BUSHURA
Kirima,,Kanungu,1507.0,66.0,60.0,0.65,100.0,,,,,,,,,90.0,300.0,KIRI-BUSHURA
Kirima,,Kanungu,1570.0,38.0,25.0,0.4,90.0,,,,30.0,,,,,120.0,60.0,KIRI-BUSHURA
Kirima,,Kanungu,1518.0,46.0,30.0,0.4,110.0,,,,14.0,,,,,60.0,60.0,KIRI-BUSHURA
Kirima,,Kanungu,1532.0,28.0,20.0,0.2,21.0,,,,,,,,,60.0,8.0,KIRI-BUSHURA
Kirima,,Kanungu,1528.0,52.0,30.0,0.45,37.0,,,,20.0,,,,,60.0,40.0,KIRI-BUSHURA
Kirima,,Kanungu,1572.0,62.0,5.0,0.45,110.0,,,,,,,,,150.0,70.0,KIRI-BUSHURA
Kirima,,Kanungu,1561.0,82.0,30.0,0.9,105.0,,,,,,,,,120.0,750.0,KIRI-BUSHURA
Kirima,,Kanungu,1557.0,81.0,30.0,0.65,78.0,,,,27.0,,,,,80.0,80.0,KIRI-BUSHURA
Kirima,,Kanungu,1143.0,28.0,30.0,0.0,,,,,500.0,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1504.0,73.0,30.0,0.0,100.0,,,,,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1504.0,78.0,30.0,0.0,,,,,,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1532.0,27.0,30.0,0.0,,,,,,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1516.0,78.0,120.0,0.0,64.0,,,,,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1540.0,80.0,90.0,2.0,34.0,,,,,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1516.0,34.0,60.0,0.5,40.0,,,,,,,,,,,KIRI-BUSHURA
Mugongo,,Kanungu,1502.0,30.0,30.0,0.5,14.0,,,,,,,,,,18.0,KIRI-BUSHURA
Mugongo,,Kanungu,1495.0,38.0,60.0,0.0,72.0,,,,,,,,,,18.0,KIRI-BUSHURA
Mutojo,,Kanungu,1482.0,52.0,15.0,1.75,100.0,,,,70.0,,,,,10.0,0.0,KIRI-BUSHURA
Mutojo,,Kanungu,1569.0,52.0,20.0,2.5,60.0,,168.0,,,,,,,,,KIRI-BUSHURA
Mutojo,,Kanungu,1500.0,21.0,10.0,0.75,32.0,,,,,,,,,,,KIRI-BUSHURA
Mutojo,,Kanungu,1460.0,40.0,30.0,1.25,40.0,,,,,,,,,7.0,100.0,KIRI-BUSHURA
Mutojo,,Kanungu,1489.0,39.0,60.0,0.25,,,,,,,,,,,,KIRI-BUSHURA
Mutojo,,Kanungu,1478.0,50.0,60.0,0.0,32.0,,,,,,,,,,,KIRI-BUSHURA
Mutojo,,Kanungu,1528.0,35.0,60.0,1.75,23.0,,,,,,,,,,90.0,KIRI-BUSHURA
Mutojo,,Kanungu,1459.0,45.0,60.0,0.0,12.0,,,,,,,6.0,,,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1700.0,86.0,20.0,1.5,160.0,,,,,,,8.0,,15.0,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1710.0,40.0,20.0,1.4375,160.0,,,,120.0,,,10.0,,,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1654.0,47.0,30.0,0.7,70.0,,,,,,,3.0,,20.0,6.0,KIRI-BUSHURA
Nyakabungo,,Kanungu,1702.0,50.0,60.0,2.5,60.0,,,,130.0,,,4.0,,20.0,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1678.0,88.0,120.0,0.5,160.0,,,50.0,210.0,,,,,50.0,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1702.0,67.0,60.0,0.5,120.0,,,,380.0,,,,,,12.0,KIRI-BUSHURA
Nyakabungo,,Kanungu,1688.0,35.0,60.0,1.75,120.0,,,,110.0,,,6.0,,40.0,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1692.0,26.0,40.0,0.25,,,,,,,,,,20.0,,KIRI-BUSHURA
Nyakabungo,,Kanungu,1685.0,29.0,30.0,0.2,,,,,,,,,,15.0,,KIRI-BUSHURA
Rwengwe,,Kanungu,1471.0,48.0,5.0,0.25,,,,,,,,,,,,KIRI-BUSHURA
Rwengwe,,Kanungu,1549.0,25.0,60.0,0.3125,13.0,,,,,,,,,,0.0,KIRI-BUSHURA
Rwengwe,,Kanungu,1531.0,31.0,30.0,0.2376,,,,,,,,,,,,KIRI-BUSHURA
Rwengwe,,Kanungu,1531.0,45.0,5.0,0.23,,,,,,,,,,10.0,,KIRI-BUSHURA
Rwengwe,,Kanungu,1631.0,54.0,5.0,0.2376,,,,,,,,,,,,KIRI-BUSHURA
Rwengwe,,Kanungu,1398.0,59.0,30.0,0.0,,,,,,,,,,240.0,240.0,KIRI-BUSHURA
Rwengwe,,Kanungu,1462.0,35.0,60.0,1.5,110.0,,,,,,,2.5,,,,KIRI-BUSHURA
Rwengwe,,Kanungu,1433.0,31.0,60.0,0.25,,,,,,,,,,30.0,,KIRI-BUSHURA
Rwengwe,,Kanungu,1554.0,54.0,30.0,1.75,13.0,,,,10.0,,,,,120.0,22.0,KIRI-BUSHURA
Bujengwe,,Kanungu,1425.0,30.0,60.0,0.0,,,,,,,,,,12.0,,KAYO-KARANGARA
Bujengwe,,Kanungu,1428.0,65.0,30.0,0.0,17.0,,,,,,,,,36.0,,KAYO-KARANGARA
Bujengwe,,Kanungu,1350.0,40.0,60.0,0.25,9.0,,,,,,,,,80.0,,KAYO-KARANGARA
Bujengwe,,Kanungu,1428.0,80.0,60.0,0.0,,,,,,,,,,15.0,,KAYO-KARANGARA
Bujengwe,,Kanungu,1440.0,63.0,30.0,6.0,110.0,,,,90.0,,,,,360.0,40.0,KAYO-KARANGARA
Bujengwe,,Kanungu,1432.0,50.0,20.0,0.75,42.0,,,,,,,,,50.0,,KAYO-KARANGARA
Bujengwe,,Kanungu,1390.0,71.0,60.0,2.5,,,,,,,,,,,,KAYO-KARANGARA
Bujengwe,,Kanungu,1414.0,38.0,60.0,0.5,,,,,,,,,,60.0,,KAYO-KARANGARA
Bujengwe,,Kanungu,1423.0,38.0,120.0,0.75,,,,,,,,,,,,KAYO-KARANGARA
Bujengwe,,Kanungu,1415.0,47.0,2.0,1.5,60.0,,,,,,,,,,,KAYO-KARANGARA
Bujengwe,,Kanungu,1422.0,45.0,25.0,2.0,,,,,,,,,,50.0,,KAYO-KARANGARA
Kagoma,,Kanungu,1401.0,50.0,20.0,2.9,80.0,,,,,,,,50.0,288.0,105.0,KAYO-KARANGARA
Kagoma,,Kanungu,1366.0,72.0,20.0,0.9,10.0,,,,,,,,,48.0,80.0,KAYO-KARANGARA
Kagoma,,Kanungu,1311.0,67.0,90.0,0.9,45.0,,,,,100.0,,,,,,KAYO-KARANGARA
Kagoma,,Kanungu,1327.0,50.0,30.0,1.15,38.0,,,,,,,,23.0,110.0,60.0,KAYO-KARANGARA
Kagoma,,Kanungu,1382.0,56.0,120.0,2.9,69.0,,,,450.0,,,,,384.0,105.0,KAYO-KARANGARA
Kagoma,,Kanungu,1316.0,26.0,40.0,2.8,55.0,,4.0,,,,,3.0,,,,KAYO-KARANGARA
Kagoma,,Kanungu,1341.0,42.0,30.0,0.5,,,,,,,,,,,,KAYO-KARANGARA
Kagoma,,Kanungu,1322.0,80.0,40.0,2.8,75.0,,,,280.0,,,5.0,,20.0,60.0,KAYO-KARANGARA
Kagoma,,Kanungu,1475.0,23.0,40.0,0.9,20.0,,,,,,,2.0,,30.0,100.0,KAYO-KARANGARA
Kagoma,,Kanungu,1346.0,34.0,10.0,0.4,40.0,,,,,,,,,80.0,100.0,KAYO-KARANGARA
Kagoma,,Kanungu,1291.0,32.0,15.0,0.4,45.0,,,,,,,3.0,,40.0,150.0,KAYO-KARANGARA
Kagoma,,Kanungu,1280.0,99.0,20.0,0.9,,,,,,,,,,48.0,30.0,KAYO-KARANGARA
Mushija,,Kanungu,1432.0,63.0,30.0,1.75,70.0,,,,,,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1481.0,49.0,120.0,0.38,,,,,,,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1480.0,27.0,120.0,0.75,100.0,,,,,,,,,60.0,,KAYO-KARANGARA
Mushija,,Kanungu,1394.0,42.0,20.0,3.25,,,,,,,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1496.0,51.0,60.0,1.25,,,,,,,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1457.0,68.0,30.0,4.35,75.0,,,,,90.0,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1468.0,80.0,30.0,0.0,,,,,,65.0,,,,60.0,16.0,KAYO-KARANGARA
Mushija,,Kanungu,1492.0,28.0,60.0,0.125,,,,,,,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1468.0,31.0,180.0,0.0,,,,,,,,,,,,KAYO-KARANGARA
Mushija,,Kanungu,1481.0,36.0,60.0,0.0,,,,,,,,,,96.0,,KAYO-KARANGARA
